Ticker,Company,Price,EPS,PE,MarketCap,Revenue YoY,Gross Margin,Net Margin
GOOG,Alphabet,195.75,9.67,20.243019648397105,2362663239680,0.13866243322901553,0.5894253832516425,0.3111828468145695
MSFT,Microsoft,535.64,13.93,38.45226130653266,3981503365120,0.1493215623240672,0.6882374643705974,0.36146015822676597
META,Meta Platforms,776.37,28.49,27.25061425061425,1950350180352,0.21941112807816043,0.8196628343502854,0.39991835672521586
AMZN,Amazon,211.65,6.46,32.76315789473684,2257226039296,0.10990892246666145,0.49606586248452045,0.10540148351388781
NVDA,NVIDIA,180.0,3.2,56.25,4389768003584,1.1420340763599357,0.7010739868649993,0.5169444200517262
